Year,Average wAV
2023,0.0
2022,47.5
2021,102.5
2020,160.0
2019,190.0
2018,270.0
2017,285.0
2016,305.0
2015,297.5
2014,325.0
2013,315.0
2012,367.5
2011,347.5
2010,360.0
2009,307.5
2008,327.5
2007,327.5
2006,392.5
2005,350.0
2004,345.0
2003,377.5
2002,335.0
2001,390.0
2000,360.0
1999,345.0
1998,380.0
1997,357.5
1996,405.0
1995,332.5
1994,370.0
1993,442.5
