Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,1.0%,-2.2,8.9,89.5,-1.3
FT,59.9%,-8.4,7.3,90.5,-13.9
FC,20.3%,1.3,5.4,86.3,3.9
FS,,,,,
FO,,,,,
SI,,,,,
SL,,,,,
CU,10.9%,3.0,-3.2,77.8,-1.5
KC,,,,,
EP,,,,,
CH,8.0%,-7.7,6.0,81.8,5.2
SC,,,,,
KN,,,,,
UN,,,,,
