Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,31.3%,-1.2,8.2,96.5,5.3
FT,27.9%,-6.7,6.4,96.0,10.5
FC,4.5%,2.7,6.8,95.9,0.1
FS,,,,,
FO,,,,,
SI,,,,,
SL,29.9%,2.3,-3.5,86.8,16.3
CU,5.7%,5.7,-11.9,78.9,1.9
KC,,,,,
EP,,,,,
CH,0.6%,-7.2,5.4,89.0,-0.9
SC,,,,,
KN,,,,,
UN,,,,,
