Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,28.3%,-4.5,6.9,93.3,-4.1
FT,,,,,
FC,2.2%,0.1,6.8,93.5,1.3
FS,,,,,
FO,,,,,
SI,23.5%,-8.2,3.5,93.1,-1.0
SL,8.3%,2.3,-2.5,86.4,0.8
CU,15.7%,5.7,-8.7,81.6,3.4
KC,,,,,
EP,,,,,
CH,22.0%,-6.1,-0.1,89.2,20.9
SC,,,,,
KN,,,,,
UN,,,,,
