Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,49.7%,-4.5,10.1,91.0,6.5
FT,15.0%,-8.8,9.2,90.3,-0.1
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,18.8%,2.0,5.0,84.6,-1.2
CU,11.2%,6.8,-1.4,77.8,-6.3
KC,,,,,
EP,,,,,
CH,5.4%,-5.9,6.6,82.8,-4.2
SC,,,,,
KN,,,,,
UN,,,,,
