Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,27.6%,-4.0,8.8,93.7,1.8
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,23.8%,-8.3,7.2,93.4,2.7
SL,23.4%,1.3,1.8,87.0,-0.4
CU,21.4%,4.4,-8.2,78.3,3.7
KC,,,,,
EP,,,,,
CH,3.8%,-8.1,4.1,87.7,-1.0
SC,,,,,
KN,,,,,
UN,,,,,
