Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,34.4%,-5.5,8.1,96.1,9.6
FT,27.7%,-8.1,6.1,96.0,5.8
FC,0.3%,0.4,7.7,94.2,0.6
FS,0.0%,-1.2,0.8,88.3,-0.1
FO,,,,,
SI,,,,,
SL,17.4%,3.9,1.9,86.4,13.5
CU,8.4%,6.4,-4.6,77.7,-3.7
KC,,,,,
EP,,,,,
CH,11.8%,-5.6,4.0,86.8,8.9
SC,,,,,
KN,,,,,
UN,,,,,
