Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,37.1%,0.6,8.8,93.0,4.0
FT,22.9%,-5.1,7.4,92.9,11.7
FC,2.8%,3.8,4.4,91.0,1.2
FS,,,,,
FO,,,,,
SI,,,,,
SL,16.8%,5.6,0.6,85.9,10.1
CU,13.2%,9.6,-5.3,81.2,5.2
KC,,,,,
EP,,,,,
CH,7.1%,-4.9,5.7,87.5,2.0
SC,,,,,
KN,,,,,
UN,,,,,
