Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,45.0%,-3.6,6.7,92.2,10.7
FT,18.5%,-7.2,2.8,89.7,-9.1
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,20.7%,2.6,0.1,81.3,1.0
CU,10.6%,7.1,-5.0,72.8,1.0
KC,,,,,
EP,,,,,
CH,5.1%,-6.1,5.0,82.0,-0.1
SC,,,,,
KN,,,,,
UN,,,,,
