Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,67.8%,7.2,9.3,91.2,6.6
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,1.3%,10.6,4.3,88.4,1.5
SL,27.1%,-5.4,0.5,78.7,-1.4
CU,1.2%,-5.8,-1.5,64.4,0.7
KC,,,,,
EP,,,,,
CH,2.6%,6.6,5.4,79.9,-2.1
SC,,,,,
KN,,,,,
UN,,,,,
