Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,58.2%,-4.3,9.4,92.1,15.6
FT,6.8%,-7.4,6.9,91.8,-0.1
FC,20.4%,1.3,6.0,88.4,3.3
FS,,,,,
FO,,,,,
SI,,,,,
SL,,,,,
CU,,,,,
KC,14.4%,7.2,-8.0,76.2,-3.6
EP,,,,,
CH,0.2%,-8.6,7.2,84.0,-2.3
SC,,,,,
KN,,,,,
UN,,,,,
