Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,5.8%,-1.7,7.3,88.3,-0.3
FT,,,,,
FC,32.4%,3.5,4.8,87.0,8.3
FS,,,,,
FO,,,,,
SI,29.2%,-6.1,6.0,88.9,0.2
SL,,,,,
CU,27.0%,9.5,-5.2,74.7,-7.1
KC,,,,,
EP,,,,,
CH,5.6%,-6.4,5.9,84.7,-5.6
SC,,,,,
KN,,,,,
UN,,,,,
