Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,48.0%,-2.2,7.5,85.8,4.1
FT,,,,,
FC,2.9%,-1.5,7.4,86.8,-2.0
FS,,,,,
FO,,,,,
SI,,,,,
SL,16.6%,1.8,4.2,81.4,-0.1
CU,7.1%,6.2,-2.7,74.2,-3.2
KC,,,,,
EP,,,,,
CH,25.3%,-5.2,8.1,80.6,4.2
SC,,,,,
KN,,,,,
UN,,,,,
