Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,50.7%,9.1,10.7,94.3,1.8
FT,15.3%,12.1,9.3,94.4,1.1
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,,,,,
CU,,,,,
KC,17.0%,-1.7,-4.8,82.2,2.9
EP,,,,,
CH,17.0%,12.0,6.1,85.5,0.8
SC,,,,,
KN,,,,,
UN,,,,,
