Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,39.2%,5.2,11.7,89.1,24.3
FT,21.3%,8.5,8.3,88.7,5.4
FC,0.1%,-0.8,10.8,88.9,-0.1
FS,,,,,
FO,,,,,
SI,,,,,
SL,14.0%,-1.6,1.8,80.3,-5.1
CU,16.4%,-5.8,-6.9,67.1,6.6
KC,,,,,
EP,,,,,
CH,8.9%,8.5,8.2,78.4,-3.4
SC,,,,,
KN,,,,,
UN,,,,,
