Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,17.6%,-7.8,6.8,92.5,-1.4
FT,36.6%,-10.2,4.3,92.3,-2.2
FC,13.0%,-2.9,4.8,86.7,-3.4
FS,,,,,
FO,,,,,
SI,,,,,
SL,,,,,
CU,16.8%,0.8,-3.3,79.9,-5.6
KC,,,,,
EP,,,,,
CH,16.0%,-10.0,4.5,86.2,0.3
SC,,,,,
KN,,,,,
UN,,,,,
