Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,18.1%,-2.2,9.0,86.5,-7.9
FT,,,,,
FC,0.6%,1.3,3.8,83.0,-1.1
FS,,,,,
FO,,,,,
SI,35.9%,-6.1,6.1,86.7,-15.5
SL,16.9%,7.1,1.6,75.0,9.0
CU,9.0%,8.6,-0.9,69.6,-2.6
KC,,,,,
EP,,,,,
CH,19.5%,-5.1,4.1,78.4,-10.9
SC,,,,,
KN,,,,,
UN,,,,,
