Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,54.1%,-6.0,9.5,91.1,10.5
FT,,,,,
FC,2.4%,0.7,7.3,86.4,-1.5
FS,17.7%,-6.8,4.7,84.2,-2.0
FO,,,,,
SI,,,,,
SL,21.0%,3.2,3.8,83.3,-2.1
CU,4.9%,4.7,-7.1,72.6,-3.5
KC,,,,,
EP,,,,,
CH,,,,,
SC,,,,,
KN,,,,,
UN,,,,,
