Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,0.9%,-5.3,9.0,92.9,0.9
FT,,,,,
FC,28.1%,0.9,4.0,87.7,17.9
FS,,,,,
FO,,,,,
SI,45.0%,-9.7,5.7,93.0,22.8
SL,,,,,
CU,24.2%,6.7,-8.8,75.0,7.8
KC,,,,,
EP,,,,,
CH,1.8%,-7.4,4.8,85.7,-1.6
SC,,,,,
KN,,,,,
UN,,,,,
