Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,31.2%,-5.7,8.3,90.3,1.1
FT,13.9%,-8.9,8.2,90.9,-2.3
FC,0.2%,0.0,6.1,87.5,0.2
FS,,,,,
FO,,,,,
SI,,,,,
SL,21.5%,1.3,2.0,83.8,6.3
CU,18.4%,6.5,-5.2,79.6,3.3
KC,,,,,
EP,,,,,
CH,14.7%,-6.4,5.3,83.8,6.2
SC,,,,,
KN,,,,,
UN,,,,,
