Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,40.9%,-3.6,7.1,93.1,-7.5
FT,19.9%,-6.2,6.2,93.0,-1.3
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,19.1%,2.9,-1.8,84.1,5.0
CU,13.5%,6.7,-7.1,77.8,-0.3
KC,,,,,
EP,,,,,
CH,6.7%,-6.7,2.6,85.4,-1.9
SC,,,,,
KN,,,,,
UN,,,,,
