Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,25.9%,5.2,6.7,89.0,-3.3
FT,27.3%,9.8,3.5,88.9,8.0
FC,16.1%,1.3,5.0,87.0,0.3
FS,,,,,
FO,,,,,
SI,,,,,
SL,2.4%,-1.0,0.3,80.0,-3.0
CU,15.3%,-2.6,-5.0,74.4,-8.2
KC,,,,,
EP,,,,,
CH,13.0%,8.5,3.1,82.7,-2.9
SC,,,,,
KN,,,,,
UN,,,,,
