Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,1.3%,-3.6,8.3,90.6,-0.3
FT,,,,,
FC,16.3%,2.1,4.8,85.8,9.9
FS,,,,,
FO,,,,,
SI,45.1%,-8.5,8.3,91.0,10.0
SL,,,,,
CU,28.5%,8.1,-8.5,74.0,18.2
KC,,,,,
EP,,,,,
CH,8.8%,-9.2,3.5,82.9,3.9
SC,,,,,
KN,,,,,
UN,,,,,
