Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,74.3%,8.0,6.2,89.9,-10.0
FT,,,,,
FC,3.4%,-2.8,2.9,84.4,-0.5
FS,,,,,
FO,,,,,
SI,,,,,
SL,9.0%,0.7,2.0,82.7,-1.1
CU,6.2%,-2.6,-1.9,78.6,1.3
KC,,,,,
EP,,,,,
CH,7.1%,7.2,3.7,80.7,-3.5
SC,,,,,
KN,,,,,
UN,,,,,
