Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,36.7%,-5.6,9.1,92.4,5.8
FT,42.6%,-8.6,5.3,91.4,14.0
FC,10.5%,0.0,4.8,87.1,4.3
FS,,,,,
FO,,,,,
SI,,,,,
SL,,,,,
CU,4.8%,2.5,-3.4,78.9,-2.4
KC,,,,,
EP,,,,,
CH,5.3%,-7.6,5.7,86.0,-5.9
SC,,,,,
KN,,,,,
UN,,,,,
