Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,19.3%,-5.0,9.3,91.0,-7.8
FT,29.1%,-9.4,5.8,90.8,-13.6
FC,,,,,
FS,15.0%,-7.1,2.2,80.9,4.4
FO,,,,,
SI,,,,,
SL,27.3%,1.7,-1.6,81.0,-5.7
CU,,,,,
KC,9.3%,7.7,-7.8,73.6,0.0
EP,,,,,
CH,,,,,
SC,,,,,
KN,,,,,
UN,,,,,
