Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,23.2%,3.8,7.7,90.3,1.1
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,22.1%,7.8,3.8,89.6,-4.8
SL,22.5%,-0.3,2.6,85.5,-1.3
CU,18.2%,-1.9,-3.8,80.9,-4.4
KC,,,,,
EP,,,,,
CH,13.9%,6.5,4.3,84.8,-11.2
SC,,,,,
KN,,,,,
UN,,,,,
