Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,2.3%,3.9,-3.4,93.2,2.5
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,66.0%,10.3,8.4,92.9,2.0
SL,10.0%,2.6,2.4,82.2,-0.9
CU,0.0%,-9.3,-2.4,73.8,0.0
KC,14.1%,-0.8,-0.7,76.5,-4.1
EP,,,,,
CH,7.6%,9.1,7.3,84.3,-5.4
SC,,,,,
KN,,,,,
UN,,,,,
