Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,18.7%,-5.6,9.4,94.3,10.0
FT,30.9%,-10.0,6.5,94.3,-3.9
FC,8.7%,-2.2,7.8,91.6,-4.5
FS,8.3%,-6.9,5.9,86.7,3.0
FO,,,,,
SI,,,,,
SL,18.8%,-1.2,5.5,87.8,1.9
CU,,,,,
KC,14.6%,1.9,-3.0,80.7,1.9
EP,,,,,
CH,,,,,
SC,,,,,
KN,,,,,
UN,,,,,
