Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,49.1%,3.7,10.7,89.9,5.3
FT,12.0%,9.5,8.0,89.7,-5.7
FC,0.6%,-1.0,12.2,90.5,0.1
FS,,,,,
FO,,,,,
SI,,,,,
SL,9.3%,-2.2,1.8,81.7,2.9
CU,10.5%,-5.1,-2.7,75.7,-0.3
KC,,,,,
EP,,,,,
CH,18.6%,5.7,8.3,81.6,-3.3
SC,,,,,
KN,,,,,
UN,,,,,
