Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,18.1%,-8.8,3.6,83.5,6.3
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,,,,,
CU,0.2%,1.8,1.8,66.3,0.1
KC,,,,,
EP,0.4%,2.8,1.2,57.0,-0.3
CH,,,,,
SC,,,,,
KN,81.2%,0.6,-0.3,75.8,11.1
UN,,,,,
