Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,13.0%,-3.4,6.8,93.9,9.1
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,48.7%,-7.7,4.5,93.5,-5.9
SL,25.7%,0.5,1.2,87.4,6.3
CU,10.0%,4.7,-1.6,81.9,-1.7
KC,,,,,
EP,,,,,
CH,2.6%,-7.0,4.8,88.1,-0.8
SC,,,,,
KN,,,,,
UN,,,,,
