Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,7.3%,-4.1,6.8,90.9,1.5
FT,,,,,
FC,17.9%,1.6,0.8,85.6,-5.6
FS,10.7%,-5.7,1.6,83.2,0.4
FO,,,,,
SI,60.0%,-7.8,2.1,91.1,29.5
SL,,,,,
CU,4.0%,8.7,-7.6,75.6,1.9
KC,,,,,
EP,,,,,
CH,,,,,
SC,,,,,
KN,,,,,
UN,,,,,
