Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,47.5%,-5.8,8.4,92.6,-5.8
FT,,,,,
FC,0.3%,0.3,10.5,91.9,-0.2
FS,,,,,
FO,,,,,
SI,3.4%,-9.4,5.5,92.4,-2.7
SL,20.6%,3.3,0.9,83.8,-0.8
CU,8.8%,4.0,-3.1,74.3,-3.5
KC,,,,,
EP,0.4%,4.7,-2.9,63.4,-0.4
CH,18.9%,-6.3,6.2,85.2,-3.5
SC,,,,,
KN,,,,,
UN,,,,,
