Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,38.1%,-4.4,9.1,95.6,8.2
FT,27.5%,-7.3,7.1,95.9,-6.4
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,27.9%,0.8,2.4,85.6,5.3
CU,,,,,
KC,,,,,
EP,,,,,
CH,6.5%,-4.5,6.6,84.8,-6.2
SC,,,,,
KN,,,,,
UN,,,,,
