Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,70.5%,-9.1,7.5,91.4,6.0
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,0.9%,-12.2,9.7,91.3,-0.1
SL,8.6%,3.3,4.0,83.2,-1.3
CU,,,,,
KC,,,,,
EP,,,,,
CH,20.0%,-7.5,2.2,81.3,-5.9
SC,,,,,
KN,,,,,
UN,,,,,
