Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,27.3%,4.4,8.8,92.3,-4.4
FT,26.0%,7.8,6.7,92.2,-11.3
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,37.6%,-2.8,-0.6,80.9,12.8
CU,,,,,
KC,,,,,
EP,,,,,
CH,9.1%,6.6,6.8,83.5,-8.6
SC,,,,,
KN,,,,,
UN,,,,,
