Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,29.6%,2.6,7.4,90.5,-2.9
FT,,,,,
FC,1.6%,-0.7,7.6,90.8,0.1
FS,,,,,
FO,,,,,
SI,32.3%,7.2,3.7,90.4,-10.1
SL,12.3%,-5.9,-2.8,81.9,3.6
CU,6.1%,-6.7,-6.6,75.6,-0.9
KC,,,,,
EP,,,,,
CH,18.0%,8.2,4.1,82.2,1.8
SC,,,,,
KN,,,,,
UN,,,,,
