Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,17.4%,-5.7,9.8,92.9,-4.0
FT,,,,,
FC,17.5%,0.9,6.3,87.2,-2.1
FS,33.2%,-7.2,1.9,87.9,4.6
FO,,,,,
SI,23.4%,-9.3,7.0,92.4,3.3
SL,2.8%,5.2,4.3,82.5,-1.1
CU,5.7%,3.9,-6.3,74.8,-1.7
KC,,,,,
EP,,,,,
CH,,,,,
SC,,,,,
KN,,,,,
UN,,,,,
