Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,49.2%,-3.3,8.8,92.4,-8.6
FT,4.1%,-7.4,6.7,92.8,-3.9
FC,2.0%,0.7,6.9,92.2,1.2
FS,,,,,
FO,,,,,
SI,,,,,
SL,34.7%,4.5,-0.7,84.3,2.9
CU,,,,,
KC,,,,,
EP,,,,,
CH,10.1%,-5.6,4.2,85.1,-5.2
SC,,,,,
KN,,,,,
UN,,,,,
