Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,27.9%,4.6,7.4,91.0,9.2
FT,15.7%,7.1,7.0,91.2,-7.1
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,38.6%,-0.1,3.0,87.4,18.7
CU,9.9%,-5.0,-5.2,75.8,-1.2
KC,,,,,
EP,,,,,
CH,8.0%,7.8,2.7,84.1,-0.9
SC,,,,,
KN,,,,,
UN,,,,,
