Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,51.4%,-3.0,10.4,92.7,-7.6
FT,18.0%,-7.1,8.1,92.4,-8.4
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,4.7%,1.1,1.0,80.4,1.9
CU,19.2%,5.9,-8.4,76.3,0.8
KC,,,,,
EP,,,,,
CH,6.7%,-7.9,6.3,81.4,-0.5
SC,,,,,
KN,,,,,
UN,,,,,
