Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,61.1%,-8.4,9.0,90.1,7.6
FT,,,,,
FC,,,,,
FS,4.7%,-8.4,3.2,83.6,1.0
FO,,,,,
SI,3.8%,-12.4,9.1,89.4,-1.9
SL,14.9%,-1.0,4.8,83.6,-0.7
CU,0.2%,1.1,-0.4,77.8,0.2
KC,,,,,
EP,,,,,
CH,15.4%,-7.8,3.2,80.8,-4.1
SC,,,,,
KN,,,,,
UN,,,,,
