Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,46.3%,5.8,12.0,91.5,18.0
FT,4.0%,8.8,10.2,91.3,-1.2
FC,22.1%,-0.6,6.5,86.9,0.6
FS,,,,,
FO,,,,,
SI,,,,,
SL,,,,,
CU,7.7%,-3.4,-0.8,77.3,-1.1
KC,,,,,
EP,,,,,
CH,19.8%,7.5,10.1,82.9,7.1
SC,,,,,
KN,,,,,
UN,,,,,
