Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,21.4%,-0.5,9.7,92.9,12.6
FT,17.0%,-4.3,9.7,92.2,-4.4
FC,20.1%,1.7,10.2,92.6,-4.7
FS,,,,,
FO,,,,,
SI,,,,,
SL,26.4%,3.1,1.3,84.9,15.1
CU,11.0%,3.2,-4.6,78.4,5.2
KC,,,,,
EP,,,,,
CH,4.2%,-1.8,7.1,83.6,-4.9
SC,,,,,
KN,,,,,
UN,,,,,
