Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,21.9%,-4.4,8.9,92.9,-2.3
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,49.1%,-8.1,4.0,93.2,-17.1
SL,17.1%,4.3,0.2,86.9,6.6
CU,,,,,
KC,11.2%,4.8,-6.0,82.7,-2.2
EP,,,,,
CH,0.8%,-6.7,5.0,85.8,-1.8
SC,,,,,
KN,,,,,
UN,,,,,
