Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,40.8%,5.2,9.8,90.8,4.9
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,19.1%,8.5,7.5,90.5,-7.1
SL,14.9%,-0.8,1.3,83.0,-0.2
CU,3.2%,-1.8,-3.1,76.9,-6.6
KC,,,,,
EP,,,,,
CH,22.0%,7.7,5.5,84.3,8.2
SC,,,,,
KN,,,,,
UN,,,,,
