Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,52.9%,3.4,12.3,91.1,-2.8
FT,,,,,
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,0.1%,-2.0,-2.5,82.6,0.1
CU,11.3%,0.3,-2.9,78.1,3.0
KC,,,,,
EP,,,,,
CH,35.7%,7.5,7.7,82.4,6.4
SC,,,,,
KN,,,,,
UN,,,,,
