Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,,,,,
FT,,,,,
FC,41.3%,-0.1,7.0,90.3,12.2
FS,2.6%,-5.8,2.8,83.8,-2.4
FO,,,,,
SI,37.3%,-8.0,4.8,90.8,6.1
SL,,,,,
CU,18.8%,8.2,-4.4,80.0,2.5
KC,,,,,
EP,,,,,
CH,,,,,
SC,,,,,
KN,,,,,
UN,,,,,
