Pitch,Usage,X Axis,Y Axis,Velocity,Value
FA,2.6%,1.9,9.3,85.7,-3.8
FT,44.7%,6.5,8.1,85.6,-17.7
FC,,,,,
FS,,,,,
FO,,,,,
SI,,,,,
SL,,,,,
CU,,,,,
KC,20.3%,-6.9,-6.2,72.1,4.9
EP,,,,,
CH,32.4%,7.6,6.8,79.5,21.7
SC,,,,,
KN,,,,,
UN,,,,,
